,Time [s],x,x_dot,y,y_dot,psi,psi_dot,X,Y,S,a_f,a_r,d_f,d_r,beta_f,beta_r,beta,alpha_f,alpha_r,v
848,8.488488488488489,216.0925447014737,33.29844224697624,0.0,0.009636384368568509,2.5512678068524086,1.1129033542692057,-127.22736447815356,54.65908324140485,216.0925447014737,0.0,6.556652925118219,0.2735114151270387,0.0,0.0233506328328295,-0.028119377471637806,0.0002893944496590861,0.2501607822942092,0.028119377471637806,33.29844224697624
849,8.498498498498499,216.42586348523844,33.29865075017109,0.0,0.00967817040081601,2.562441489140068,1.1195965614467327,-127.50535546516282,54.842988832851084,216.42586348523844,0.0,6.524081902938073,0.26746993616468534,0.0,0.023490435203145355,-0.028288801065732876,0.00029064752423238124,0.24397950096153997,0.028288801065732876,33.29865075017109
850,8.508508508508509,216.7591843530606,33.2988586416042,0.0,0.009719053684164784,2.5736811770021846,1.1260913216573958,-127.7853919124994,55.02376830954844,216.7591843530606,0.0,6.49126635534818,0.26143888804884013,0.0,0.023626097041200774,-0.028453184534705033,0.00029187347797025344,0.23781279100763936,0.028453184534705033,33.2988586416042
851,8.518518518518519,217.09250729871476,33.29906590096181,0.0,0.009759035649962005,2.584984887213467,1.132388280246132,-128.06745020520154,55.20138059051719,217.09250729871476,0.0,6.458213613032545,0.25542180358862915,0.0,0.023757631861887837,-0.02861254442971418,0.0002930723546116093,0.2316641717267413,0.02861254442971418,33.29906590096181
852,8.528528528528529,217.42583231577248,33.29927250798551,0.0,0.009798118260499377,2.5963506435525328,1.138488191219595,-128.3515055079196,55.37578516527013,217.42583231577248,0.0,6.424930948541792,0.2494221779806302,0.0,0.023885055447120815,-0.02876690005904597,0.0002942442138382968,0.22553712253350938,0.02876690005904597,33.29927250798551
853,8.538538538538539,217.75915939760287,33.29947844249865,0.0,0.00983630400343872,2.6077764778828842,1.144391915902182,-128.63753178409533,55.546942121982795,217.75915939760287,0.0,6.391425575603032,0.24344346585057935,0.0,0.02400838581770759,-0.02891627345383624,0.0002953891311067835,0.21943508003287177,0.02891627345383624,33.29947844249865
854,8.548548548548549,218.09248853737367,33.29968368443233,0.0,0.009873595885792431,2.6192604312199834,1.1501004215023747,-128.92550181616676,55.71481217506935,218.09248853737367,0.0,6.357704648459083,0.2374890783341486,0.0,0.02412764320335097,-0.029060689331521585,0.00029650719746651504,0.2133614351307976,0.029060689331521585,33.29968368443233
855,8.558558558558559,218.42581972805235,33.29988821385103,0.0,0.009909997427464604,2.6308005547835323,1.1556147795907497,-129.21538722676522,55.8793566921187,218.42581972805235,0.0,6.323775261236508,0.23156238019940825,0.0,0.02424285001080855,-0.029200175057050796,0.0002975985193650766,0.2073195301885997,0.029200175057050796,33.29988821385103
856,8.568568568568569,218.75915296240763,33.3000920109777,0.0,0.009945512654359015,2.6423949110340845,1.1609361644910974,-129.50715850086843,56.040537720147235,218.75915296240763,0.0,6.289644447342025,0.22566668701354944,0.0,0.024354030790241208,-0.029334760601893998,0.00029866321844037105,0.20131265622330824,0.029334760601893998,33.3000920109777
857,8.578578578578579,219.09248823301118,33.30029505621836,0.0,0.009980146091060564,2.654041574693123,1.1660658515861644,-129.80078500887262,56.19831801112639,219.09248823301118,0.0,6.25531917888677,0.21980526235640005,0.0,0.024461212199782156,-0.02946447850088819,0.0002997014312999882,0.1953440501566179,0.02946447850088819,33.30029505621836
858,8.588588588588589,219.4258255322396,33.300497330186026,0.0,0.010013902753097126,2.665738633745762,1.1710052155396098,-130.09623503054388,56.35266104674517,219.4258255322396,0.0,6.220806366137972,0.21398131508322726,0.0,0.02456442296835986,-0.029589363806959902,0.0003007133092880216,0.1894168921148674,0.029589363806959902,33.300497330186026
859,8.598598598598599,219.75916485227654,33.300698813724004,0.0,0.010046788138789184,2.6774841904252336,1.175755728435842,-130.39347577980823,56.503531062369746,219.75916485227654,0.0,6.186112856997546,0.20819799663927518,0.0,0.02466369385680986,-0.029709454043767507,0.0003016990182394836,0.18353430278246533,0.029709454043767507,33.300698813724004
860,8.608608608608609,220.09250618511516,33.300899487928476,0.0,0.010078808220694926,2.6892763621783584,1.180318957839476,-130.69247343033797,56.650893070164464,220.09250618511516,0.0,6.151245436507134,0.20245839842843588,0.0,0.024759057617311894,-0.029824789156307627,0.0003026587382226314,0.17769934081112398,0.029824789156307627,33.300899487928476
861,8.618618618618619,220.42584952256078,33.30109933417029,0.0,0.010109969436658902,2.7011132826111943,1.1846965647762207,-130.99319314189052,56.79471288134064,220.42584952256078,0.0,6.116210826379141,0.19676554923840825,0.0,0.02485054895119035,-0.02993541145953182,0.0003035926632693805,0.1719150002872179,0.02993541145953182,33.30109933417029
862,8.62862862862863,220.75919485623373,33.30129833411595,0.0,0.010140278680472663,2.71299310241409,1.188890301637079,-131.29559908735467,56.93495712750199,220.75919485623373,0.0,6.081015684553317,0.19112241272464306,0.0,0.024938204465117405,-0.030041365585021493,0.0003045010010941339,0.16618420825952565,0.030041365585021493,33.30129833411595
863,8.63863863863864,221.0925421775724,33.30149646974773,0.0,0.01016974329215616,2.7249139902653865,1.1929020100078105,-131.59965448045838,57.07159328105772,221.0925421775724,0.0,6.045666604778398,0.1855318849553229,0.0,0.02502206262575976,-0.030142698425770977,0.0003053839728011862,0.16050982232956315,0.030142698425770977,33.30149646974773
864,8.64864864864865,221.42589147783644,33.30169372338294,0.0,0.010198371047869009,2.7368741337130262,1.1967336184256687,-131.90532160409074,57.204589674676804,221.42589147783644,0.0,6.010170116218381,0.17999679201956797,0.0,0.025102163712911033,-0.03023945907912972,0.000306241812581088,0.15489462830665696,0.03023945907912972,33.30169372338294
865,8.65865865865866,221.75924274811038,33.301890077692164,0.0,0.010226170149461079,2.748871740033355,1.2003871400655015,-132.21256183919022,57.33391551975931,221.75924274811038,0.0,5.974532683082987,0.17451988770100324,0.0,0.02517854977115356,-0.03033169878795708,0.00030707476739619613,0.1493413379298497,0.03033169878795708,33.301890077692164
866,8.66866866866867,222.09259597930702,33.30208551571661,0.0,0.010253149213672166,2.7609050370664177,1.2038646703573517,-132.52133569415042,57.45954092390339,222.09259597930702,0.0,5.938760704281856,0.16910385121876212,0.0,0.025251264560094307,-0.030419470880044007,0.0003078830966557148,0.14385258665866782,0.030419470880044007,33.30208551571661
867,8.67867867867868,222.42595116217143,33.30228002088444,0.0,0.010279317260990833,2.772972274027075,1.2071683845377659,-132.83160283469422,57.581436907348696,222.42595116217143,0.0,5.902860513102056,0.16375128503794137,0.0,0.025320353503221035,-0.03050283070585785,0.00030866707188050013,0.13843093153472033,0.03050283070585785,33.30228002088444
868,8.68868868868869,222.75930828728474,33.302473577026014,0.0,0.010304683704182789,2.7850717222912866,1.2103005351370746,-133.14332211416618,57.69957541837988,222.75930828728474,0.0,5.8668383769084445,0.15846471275145874,0.0,0.02538586363542613,-0.030581835574667864,0.0003094269763580428,0.1330788491160326,0.030581835574667864,33.302473577026014
869,8.6986986986987,223.09266734506838,33.302666168388185,0.0,0.010329258336499513,2.7972016761569356,1.2132634494049654,-133.4564516041935,57.81392934767623,223.09266734506838,0.0,5.8307004968664895,0.15324657703520095,0.0,0.025447843549246462,-0.03065654468911051,0.00031016310478782297,0.1277987334859545,0.03065654468911051,33.302666168388185
870,8.70870870870871,223.42602832578817,33.302857779647454,0.0,0.010353051319578059,2.8093604535785834,1.2160595266767238,-133.7709486256648,57.92447254159605,223.42602832578817,0.0,5.794453007687104,0.14809923767828206,0.0,0.025506343339869064,-0.03072701907825491,0.0003108757629174154,0.122592894338413,0.03072701907825491,33.302857779647454
871,8.71871871871872,223.75939121955875,33.303048395922055,0.0,0.01037607317104329,2.821546396875578,1.2186912356825699,-134.08676977997703,58.031179814387166,223.75939121955875,0.0,5.758101977393075,0.1430249696901658,0.0,0.02556141454895326,-0.030793321529230172,0.00031156526716977564,0.11746355514121253,0.030793321529230172,33.303048395922055
872,8.72872872872873,224.09275601634815,33.30323800278296,0.0,0.010398334751824062,2.833757873412953,1.2211611118025711,-134.40387098049968,58.13402695931715,224.09275601634815,0.0,5.721653407106675,0.1380259614863345,0.0,0.02561311010732103,-0.030855516517477716,0.00031223194426185236,0.11241285137901347,0.030855516517477716,33.30323800278296
873,8.73873873873874,224.42612270598218,33.3034265862638,0.0,0.010419847253195077,2.845993276254593,1.2234717542696565,-134.72220748420645,58.23299075871985,224.42612270598218,0.0,5.685113230858061,0.1331043131541179,0.0,0.025661484276568388,-0.030913670135692562,0.0003128761308151054,0.1074428288775495,0.030913670135692562,33.3034265862638
